"key","nl","en","fr"
"history.details.name","naam {from} -> {name}","name {from} -> {name}","nom {from} -> {to}"
"history.details.perimeter","omtrek {from} -> {perimeter}","perimeter {from} -> {perimeter}","pÃ©rimÃ¨tre {from} -> {perimeter}"
"history.details.postcode","postcode {from} -> {postcode}","postcode {from} -> {postcode}","code postal {from} -> {postcode}"
"history.empty","Nog geen wijzigingen geregistreerd.","No changes recorded yet.","Aucune modification enregistrÃ©e pour le moment."
"history.import.duplicates","{count} duplicaat oorkenmerk(en) verwijderd bij import","{count} duplicate earmark(s) removed during import","{count} marque(s) auriculaire(s) en doublon supprimÃ©e(s) pendant l'import"
"history.import.success","Gegevens geÃ¯mporteerd uit bestand","Data imported from file","DonnÃ©es importÃ©es depuis le fichier"
"history.paddock.added","Weide {name} toegevoegd","Paddock {name} added","PÃ¢turage {name} ajoutÃ©"
"history.paddock.deleted","Weide {name} verwijderd","Paddock {name} deleted","PÃ¢turage {name} supprimÃ©"
"history.paddock.updated","Weide bijgewerkt: {details}","Paddock updated: {details}","PÃ¢turage modifiÃ© : {details}"
"history.paddockMove.auto","Weide {name} verwijderd en schapen automatisch verplaatst naar {target}: {sheep}","Paddock {name} deleted and sheep auto-moved to {target}: {sheep}","PÃ¢turage {name} supprimÃ© et moutons dÃ©placÃ©s automatiquement vers {target} : {sheep}"
"history.paddockMove.manual","Weide {name} verwijderd en schapen verplaatst naar {target}: {sheep}","Paddock {name} deleted and sheep moved to {target}: {sheep}","PÃ¢turage {name} supprimÃ© et moutons dÃ©placÃ©s vers {target} : {sheep}"
"history.sheep.added","{tag} toegevoegd in {location}","{tag} added in {location}","{tag} ajoutÃ© Ã  {location}"
"history.sheep.deleted","{tag} verwijderd uit {location}","{tag} removed from {location}","{tag} retirÃ© de {location}"
"history.sheep.moved","{sheep} verplaatst van {from} naar {to}","{sheep} moved from {from} to {to}","{sheep} dÃ©placÃ© de {from} vers {to}"
"history.sheep.updated","Schaap bijgewerkt: {details}","Sheep updated: {details}","Mouton modifiÃ© : {details}"
"history.zone.added","Zone {name} toegevoegd in weide {paddock}","Zone {name} added in paddock {paddock}","Zone {name} ajoutÃ©e dans le pÃ¢turage {paddock}"
"history.zone.deleted","Zone {paddock} / {name} verwijderd","Zone {paddock} / {name} deleted","Zone {paddock} / {name} supprimÃ©e"
"history.zone.updated","Zone bijgewerkt: {details}","Zone updated: {details}","Zone modifiÃ©e : {details}"
"history.zoneMove.auto","Zone {paddock} / {name} verwijderd en schapen automatisch verplaatst naar {target}: {sheep}","Zone {paddock} / {name} deleted and sheep auto-moved to {target}: {sheep}","Zone {paddock} / {name} supprimÃ©e et moutons dÃ©placÃ©s automatiquement vers {target} : {sheep}"
"history.zoneMove.manual","Zone {paddock} / {name} verwijderd en schapen verplaatst naar {target}: {sheep}","Zone {paddock} / {name} deleted and sheep moved to {target}: {sheep}","Zone {paddock} / {name} supprimÃ©e et moutons dÃ©placÃ©s vers {target} : {sheep}"
"labels.lastUpdated","Laatst gewijzigd: {date} ({days} dagen geleden)","Last updated: {date} ({days} days ago)","DerniÃ¨re mise Ã  jour : {date} (il y a {days} jours)"
"move.bulkCountLabel","Aantal schapen","Number of sheep","Nombre de moutons"
"move.bulkSourceLabel","Bronzone","Source zone","Zone source"
"move.bulkSubmit","Verplaats alle dieren","Move all animals","DÃ©placer tous les animaux"
"move.bulkTargetPaddockLabel","Doelweide","Target paddock","PÃ¢turage cible"
"move.bulkTargetZoneLabel","Doelzone","Target zone","Zone cible"
"move.bulkTitle","Verplaats alle dieren","Move all animals","DÃ©placer tous les animaux"
"move.deletePaddockSourceLabel","Te verwijderen weide","Paddock to delete","PÃ¢turage Ã  supprimer"
"move.deletePaddockSubmit","Verplaats en verwijder","Move and delete","DÃ©placer et supprimer"
"move.deletePaddockTargetLabel","Doelzone","Target zone","Zone cible"
"move.deletePaddockTitle","Weide verwijderen en schapen verplaatsen","Delete paddock and move sheep","Supprimer le pÃ¢turage et dÃ©placer les moutons"
"move.deleteZoneSourceLabel","Te verwijderen zone","Zone to delete","Zone Ã  supprimer"
"move.deleteZoneSubmit","Verplaats en verwijder","Move and delete","DÃ©placer et supprimer"
"move.deleteZoneTargetLabel","Doelzone","Target zone","Zone cible"
"move.deleteZoneTitle","Zone verwijderen en schapen verplaatsen","Delete zone and move sheep","Supprimer la zone et dÃ©placer les moutons"
"move.paddockLabel","Weide","Paddock","PÃ¢turage"
"move.submit","Verplaats","Move","DÃ©placer"
"move.title","Verplaats schaap","Move sheep","DÃ©placer un mouton"
"move.zoneLabel","Zone","Zone","Zone"
"paddock.add.nameLabel","Naam weide","Paddock name","Nom du pÃ¢turage"
"paddock.add.namePlaceholder","Naam weide","Paddock name","Nom du pÃ¢turage"
"paddock.add.postcodeLabel","Postcode (optioneel)","Postcode (optional)","Code postal (optionnel)"
"paddock.add.postcodePlaceholder","Postcode (optioneel)","Postcode (optional)","Code postal (optionnel)"
"paddock.add.submit","Toevoegen","Add","Ajouter"
"paddock.add.title","Weide toevoegen","Add paddock","Ajouter un pÃ¢turage"
"paddock.edit.nameLabel","Naam weide","Paddock name","Nom du pÃ¢turage"
"paddock.edit.namePlaceholder","Naam weide","Paddock name","Nom du pÃ¢turage"
"paddock.edit.postcodeLabel","Postcode (optioneel)","Postcode (optional)","Code postal (optionnel)"
"paddock.edit.postcodePlaceholder","Postcode (optioneel)","Postcode (optional)","Code postal (optionnel)"
"paddock.edit.submit","Opslaan","Save","Enregistrer"
"paddock.edit.title","Weide bewerken","Edit paddock","Modifier le pÃ¢turage"
"paddock.empty","Geen weides","No paddocks","Aucun pÃ¢turage"
"paddock.sheep.plural","schapen","sheep","moutons"
"paddock.sheep.singular","schaap","sheep","mouton"
"paddock.zones.badge","{count} zone(s)","{count} zone(s)","{count} zone(s)"
"section.history","Historiek","History","Historique"
"section.paddocks","Weides","Paddocks","PÃ¢turages"
"section.sheep","Schapen","Sheep","Moutons"
"select.paddock.choose","Kies weide","Choose paddock","Choisir un pÃ¢turage"
"select.paddock.first","Kies eerst een weide","Choose a paddock first","Choisissez d'abord un pÃ¢turage"
"select.parent.father","Vaderdier (optioneel, enkel rammen)","Father (optional, rams only)","PÃ¨re (optionnel, bÃ©liers uniquement)"
"select.parent.mother","Moederdier (optioneel, enkel ooien)","Mother (optional, ewes only)","MÃ¨re (optionnel, brebis uniquement)"
"select.zone.choose","Kies zone","Choose zone","Choisir une zone"
"select.zone.noneAvailable","Geen zones beschikbaar","No zones available","Aucune zone disponible"
"sheep.add.earmarkPlaceholder","Oorkenmerk (optioneel)","Earmark (optional)","Marque auriculaire (optionnel)"
"sheep.add.genderLabel","Geslacht","Sex","Sexe"
"sheep.add.locationLabel","Locatie","Location","Emplacement"
"sheep.add.pedigreeLabel","Stamboom","Pedigree","Pedigree"
"sheep.add.submit","Toevoegen","Add","Ajouter"
"sheep.add.tagPlaceholder","Tag","Tag",""
"sheep.add.title","Schaap toevoegen","Add sheep","Ajouter un mouton"
"sheep.edit.earmarkLabel","Oorkenmerk","Earmark","Marque auriculaire"
"sheep.edit.earmarkPlaceholder","Oorkenmerk toevoegen","Add earmark","Ajouter une marque auriculaire"
"sheep.edit.genderLabel","Geslacht","Sex","Sexe"
"sheep.edit.locationLabel","Locatie","Location","Emplacement"
"sheep.edit.pedigreeLabel","Stamboom","Pedigree","Pedigree"
"sheep.edit.submit","Opslaan","Save","Enregistrer"
"sheep.edit.tagPlaceholder","Nieuwe naam","New name","Nouveau nom"
"sheep.edit.title","Schaap bewerken","Edit sheep","Modifier le mouton"
"sheep.empty","Geen schapen","No sheep","Aucun mouton"
"sheep.gender.female","Ooi","Ewe","Brebis"
"sheep.gender.male","Ram","Ram","BÃ©lier"
"sheep.location.none","Geen zone","No zone","Aucune zone"
"sheep.location.unknownPaddock","Onbekend veld","Unknown paddock","PÃ¢turage inconnu"
"sheep.location.unknownZone","Onbekende zone","Unknown zone","Zone inconnue"
"tab.history","Historiek","History","Historique"
"tab.paddocksZones","Weides en zones","Paddocks and zones","PÃ¢turages et zones"
"tab.sheep","Schapen","Sheep","Moutons"
"ui.add","Toevoegen","Add","Ajouter"
"ui.clear","Wissen","Clear","Effacer"
"ui.language","Taal","Language","Langue"
"ui.save","Opslaan","Save","Enregistrer"
"ui.upload","Upload","Upload","Importer"
"unknown","Onbekend","Unknown","Inconnu"
"weather.cloudy","Bewolkt","Cloudy","Nuageux"
"weather.fog","Mist","Fog","Brouillard"
"weather.loading","3-daagse forecast laden...","3-day forecast loading...","Chargement des prÃ©visions sur 3 jours..."
"weather.noForecast","Geen forecast beschikbaar voor postcode {postcode}","No forecast available for postcode {postcode}","Aucune prÃ©vision disponible pour le code postal {postcode}"
"weather.noPostcode","Geen postcode voor forecast","No postcode for forecast","Aucun code postal pour les prÃ©visions"
"weather.partlyCloudy","Halfbewolkt","Partly cloudy","Partiellement nuageux"
"weather.rain","Regen","Rain","Pluie"
"weather.rainPercentage","{rain}% regen","{rain}% rain","{rain}% pluie"
"weather.snow","Sneeuw","Snow","Neige"
"weather.sunny","Zonnig","Sunny","EnsoleillÃ©"
"weather.thunderstorm","Onweer","Thunderstorm","Orage"
"weather.variable","Wisselend","Variable","Variable"
"zone.add.areaLabel","Oppervlakte (m2)","Area (m2)","Surface (m2)"
"zone.add.areaPlaceholder","Oppervlakte (m2)","Area (m2)","Surface (m2)"
"zone.add.nameLabel","Zone naam","Zone name","Nom de la zone"
"zone.add.namePlaceholder","Zone naam","Zone name","Nom de la zone"
"zone.add.paddockLabel","Weide","Paddock","PÃ¢turage"
"zone.add.perimeterLabel","Omtrek (m)","Perimeter (m)","PÃ©rimÃ¨tre (m)"
"zone.add.perimeterPlaceholder","Omtrek (m)","Perimeter (m)","PÃ©rimÃ¨tre (m)"
"zone.add.submit","Toevoegen","Add","Ajouter"
"zone.add.title","Zone toevoegen","Add zone","Ajouter une zone"
"zone.bulkMove","Verplaats alle dieren","Move all animals","DÃ©placer tous les animaux"
"zone.edit.areaLabel","Oppervlakte (m2)","Area (m2)","Surface (m2)"
"zone.edit.areaPlaceholder","Oppervlakte","Area","Surface"
"zone.edit.nameLabel","Zone naam","Zone name","Nom de la zone"
"zone.edit.namePlaceholder","Zone naam","Zone name","Nom de la zone"
"zone.edit.paddockLabel","Weide","Paddock","PÃ¢turage"
"zone.edit.perimeterLabel","Omtrek (m)","Perimeter (m)","PÃ©rimÃ¨tre (m)"
"zone.edit.perimeterPlaceholder","Omtrek","Perimeter","PÃ©rimÃ¨tre"
"zone.edit.submit","Opslaan","Save","Enregistrer"
"zone.edit.title","Zone bewerken","Edit zone","Modifier la zone"
"zone.sheep.empty","Geen schaap","No sheep","Aucun mouton"
"zone.status.empty","Leeg sinds {days} dagen","Empty for {days} days","Vide depuis {days} jours"
"zone.status.occupied","Bezet","Occupied","OccupÃ©e"
